CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12435.0,79,2,7829.89,0,Low Value
12436.0,99,1,509.01,2,Low Value
12437.0,1,18,4951.41,3,High Value
12438.0,13,2,2906.85,2,Low Value
12441.0,366,1,173.55,1,At Risk
12442.0,2,1,172.06,2,Low Value
12444.0,20,5,5005.46,0,Low Value
12445.0,21,1,133.4,2,Low Value
12446.0,57,1,1002.31,2,Low Value
12447.0,242,1,476.49,1,At Risk
12448.0,43,1,449.45,2,Low Value
12449.0,21,4,4067.29,0,Low Value
12450.0,155,2,197.88,1,At Risk
12451.0,10,5,9035.52,3,Low Value
12452.0,16,2,430.5700000000001,2,Low Value
12453.0,133,1,707.09,2,At Risk
12454.0,55,1,3528.34,2,Low Value
12455.0,72,6,2466.86,0,High Value
12456.0,43,3,3181.04,0,Low Value
12457.0,65,7,2363.23,0,High Value
12458.0,70,2,947.4,2,Low Value
12461.0,93,2,826.88,2,Low Value
12462.0,18,2,1189.59,2,Low Value
12463.0,52,4,1344.78,2,Low Value
12464.0,9,8,1212.05,0,High Value
12465.0,16,2,742.19,2,Low Value
12468.0,187,2,729.54,1,At Risk
12472.0,31,7,6572.11,3,High Value
12473.0,28,5,3938.55,0,Low Value
12474.0,16,18,7375.79,3,High Value
12475.0,53,1,723.38,2,Low Value
12476.0,15,11,6816.42,3,High Value
12477.0,22,6,13219.74,3,High Value
12478.0,3,1,680.99,2,Low Value
12479.0,10,1,527.2,2,Low Value
12480.0,27,4,3281.63,0,Low Value
12481.0,22,10,5596.32,3,High Value
12483.0,16,8,2484.98,0,High Value
12484.0,32,6,4541.72,0,High Value
12488.0,9,3,1298.66,2,Low Value
12489.0,335,1,334.93,1,At Risk
12490.0,4,10,5417.93,3,High Value
12491.0,38,1,460.4,2,Low Value
12492.0,62,2,263.21000000000004,2,Low Value
12493.0,165,2,433.74,1,At Risk
12494.0,15,7,1246.1,0,High Value
12497.0,81,1,1043.1,2,Low Value
12498.0,20,3,403.7000000000001,2,Low Value
12500.0,22,11,4257.82,0,High Value
12501.0,336,1,2169.39,1,At Risk
12502.0,95,5,3723.87,0,Low Value
12504.0,17,2,482.05,2,Low Value
12506.0,232,1,73.5,1,At Risk
12507.0,133,3,1304.81,2,At Risk
12508.0,25,2,398.27,2,Low Value
12509.0,283,1,176.5,1,At Risk
12510.0,142,2,982.57,2,At Risk
12512.0,65,2,138.03,2,Low Value
12513.0,112,1,612.29,2,At Risk
12514.0,266,1,1017.68,1,At Risk
12515.0,352,1,383.7,1,At Risk
12516.0,77,2,1312.06,2,Low Value
12517.0,27,5,2502.84,0,Low Value
12518.0,0,5,2056.89,0,Low Value
12519.0,63,1,340.84000000000003,2,Low Value
12520.0,78,5,2634.26,0,Low Value
12521.0,142,1,599.68,2,At Risk
12522.0,38,2,192.72,2,Low Value
12523.0,18,11,1789.77,0,High Value
12524.0,8,8,4485.72,0,High Value
12526.0,0,3,1316.66,2,Low Value
12527.0,81,3,348.71000000000004,2,Low Value
12528.0,8,6,1933.48,0,High Value
12530.0,59,4,1662.28,2,Low Value
12531.0,14,1,125.22,2,Low Value
12532.0,29,1,349.83000000000004,2,Low Value
12534.0,130,1,1089.18,2,At Risk
12535.0,91,2,716.35,2,Low Value
12536.0,42,3,12601.830000000002,3,Low Value
12538.0,28,1,363.95,2,Low Value
12539.0,21,4,5568.35,0,Low Value
12540.0,19,17,13400.24,3,High Value
12541.0,29,3,981.18,2,Low Value
12544.0,35,1,372.7,2,Low Value
12545.0,74,2,1000.39,2,Low Value
12546.0,46,2,1161.5,2,Low Value
12547.0,197,2,207.8,1,At Risk
12548.0,165,1,95.2,1,At Risk
12550.0,78,1,964.83,2,Low Value
12551.0,357,1,168.0,1,At Risk
12552.0,38,2,437.82,2,Low Value
12553.0,7,10,3692.28,0,High Value
12556.0,49,2,603.71,2,Low Value
12557.0,15,5,11990.96,3,Low Value
12558.0,7,1,269.96,2,Low Value
12559.0,310,2,561.71,1,At Risk
12560.0,4,3,2134.01,2,Low Value
12561.0,302,1,238.85,1,At Risk
12562.0,7,7,3781.74,0,High Value
12564.0,260,1,456.9,1,At Risk
12565.0,288,1,145.92000000000002,1,At Risk
12566.0,85,1,351.65,2,Low Value
12567.0,22,10,9401.28,3,High Value
12571.0,39,2,519.61,2,Low Value
12572.0,8,2,1020.42,2,Low Value
12573.0,226,1,160.54000000000002,1,At Risk
12574.0,315,1,218.45,1,At Risk
12576.0,35,5,1315.83,2,Low Value
12577.0,34,3,657.8,2,Low Value
12578.0,20,2,2794.51,2,Low Value
12579.0,77,1,440.42,2,Low Value
12580.0,246,1,415.7,1,At Risk
12581.0,39,1,197.71,2,Low Value
12582.0,238,2,511.36,1,At Risk
12583.0,2,15,7281.38,3,High Value
12584.0,3,9,2338.15,0,High Value
12585.0,233,2,2040.1,1,At Risk
12586.0,16,1,196.94000000000003,2,Low Value
12587.0,7,1,144.0,2,Low Value
12588.0,38,1,214.9,2,Low Value
12589.0,28,2,646.68,2,Low Value
12590.0,210,2,9864.26,3,At Risk
12591.0,316,1,452.85,1,At Risk
12592.0,91,2,437.6,2,Low Value
12593.0,108,3,418.1,2,At Risk
12594.0,37,10,3338.2200000000003,0,High Value
12596.0,50,2,618.27,2,Low Value
12597.0,18,4,3811.22,0,Low Value
12598.0,9,8,3023.08,0,High Value
12599.0,28,7,1032.58,0,High Value
12600.0,28,10,2599.04,0,High Value
12601.0,189,5,577.0600000000001,1,At Risk
12602.0,58,1,153.12,2,Low Value
12603.0,21,1,739.1999999999999,2,Low Value
12604.0,78,2,254.18,2,Low Value
12607.0,59,1,1579.51,2,Low Value
12609.0,77,3,1126.85,2,Low Value
12610.0,22,5,2099.54,0,Low Value
12611.0,51,1,1193.32,2,Low Value
12612.0,73,1,704.04,2,Low Value
12613.0,56,5,3344.38,0,Low Value
12614.0,277,1,315.6,1,At Risk
12615.0,1,4,2291.19,0,Low Value
12616.0,94,2,713.3,2,Low Value
12617.0,28,1,355.53000000000003,2,Low Value
12618.0,21,1,177.31,2,Low Value
12619.0,15,9,3641.24,0,High Value
12620.0,14,3,1339.41,2,Low Value
12621.0,1,20,13689.67,3,High Value
12622.0,231,1,180.1,1,At Risk
12623.0,275,1,305.1,1,At Risk
12624.0,105,2,641.13,2,At Risk
12625.0,211,2,2683.82,1,At Risk
12626.0,22,9,6620.4800000000005,3,High Value
12627.0,10,7,4478.53,0,High Value
12628.0,3,3,786.46,2,Low Value
12630.0,9,2,1270.88,2,Low Value
12631.0,56,1,640.5,2,Low Value
12633.0,58,4,2163.98,0,Low Value
12635.0,89,2,1689.18,2,Low Value
12637.0,66,8,6021.9,0,High Value
12638.0,32,1,671.69,2,Low Value
12639.0,238,1,486.1,1,At Risk
12640.0,23,3,1174.58,2,Low Value
12641.0,114,1,185.9,2,At Risk
12642.0,24,3,1013.26,2,Low Value
12643.0,127,6,3344.64,0,High Value
12644.0,129,1,477.91,2,At Risk
12645.0,33,4,1775.18,2,Low Value
12646.0,4,2,1346.97,2,Low Value
12647.0,21,12,3722.82,0,High Value
12648.0,154,1,318.05,1,At Risk
12649.0,106,3,623.51,2,At Risk
12650.0,2,1,314.44,2,Low Value
12651.0,334,1,114.0,1,At Risk
12652.0,330,1,919.98,1,At Risk
12653.0,148,2,2209.85,2,At Risk
12654.0,10,5,601.98,2,Low Value
12656.0,16,5,4051.17,0,Low Value
12657.0,10,4,1643.18,2,Low Value
12658.0,18,1,686.05,2,Low Value
12659.0,29,1,91.68,2,Low Value
12660.0,10,1,245.1,2,Low Value
12662.0,0,11,3849.78,0,High Value
12664.0,7,9,4881.88,0,High Value
12665.0,324,1,63.0,1,At Risk
12667.0,57,1,620.13,2,Low Value
12668.0,11,4,3807.15,0,Low Value
12669.0,150,3,2744.03,2,At Risk
12670.0,9,5,2996.05,0,Low Value
12672.0,329,1,225.9,1,At Risk
12673.0,4,2,610.52,2,Low Value
12674.0,38,4,1970.6,2,Low Value
12676.0,24,6,1331.39,0,High Value
12678.0,41,12,17628.46,3,High Value
12679.0,58,4,1113.02,2,Low Value
12680.0,0,4,862.81,2,Low Value
12681.0,14,22,13787.54,3,High Value
12683.0,3,15,8476.57,3,High Value
12684.0,7,7,2283.63,0,High Value
12685.0,27,6,2863.08,0,High Value
12686.0,371,1,89.14,1,At Risk
12688.0,113,1,4873.81,0,At Risk
12689.0,25,2,1247.61,2,Low Value
12690.0,205,1,389.01,1,At Risk
12691.0,27,6,1035.8,0,High Value
12693.0,126,4,855.91,2,At Risk
12694.0,69,2,869.67,2,Low Value
12695.0,6,4,582.1,2,Low Value
12697.0,28,3,957.59,2,Low Value
12700.0,7,4,4939.99,0,Low Value
12701.0,79,2,797.71,2,Low Value
12702.0,19,1,219.0,2,Low Value
12703.0,70,1,283.55,2,Low Value
12704.0,6,8,2340.84,0,High Value
12705.0,14,9,6868.29,3,High Value
12707.0,291,1,603.42,1,At Risk
12708.0,29,10,2712.91,0,High Value
12709.0,14,15,9736.52,3,High Value
12710.0,96,3,1149.02,2,Low Value
12712.0,28,13,4396.13,3,High Value
12713.0,0,1,848.55,2,Low Value
12714.0,8,5,4708.86,0,Low Value
12715.0,105,1,353.86,2,At Risk
12716.0,3,2,1053.49,2,Low Value
12717.0,150,2,1030.98,2,At Risk
12718.0,70,1,238.25,2,Low Value
12719.0,4,2,644.95,2,Low Value
12721.0,31,6,2656.13,0,High Value
12722.0,84,4,997.63,2,Low Value
12723.0,3,5,725.07,2,Low Value
12724.0,4,4,1031.41,2,Low Value
12725.0,370,1,427.8,1,At Risk
12726.0,27,7,2609.1,0,High Value
12727.0,10,7,3980.7,0,High Value
12728.0,70,4,836.33,2,Low Value
12729.0,113,1,453.01,2,At Risk
12731.0,23,12,18895.91,3,High Value
12732.0,179,1,236.26,1,At Risk
12733.0,233,1,383.95,1,At Risk
12734.0,352,1,110.4,1,At Risk
12735.0,314,2,779.5699999999999,1,At Risk
12736.0,332,1,234.0,1,At Risk
12738.0,371,1,155.35,1,At Risk
12739.0,77,2,1013.04,2,Low Value
12740.0,63,1,427.6,2,Low Value
12743.0,133,2,546.43,2,At Risk
12747.0,1,11,4196.01,0,High Value
12749.0,3,5,4090.88,0,Low Value
12750.0,128,1,275.88,2,At Risk
12752.0,80,1,4366.78,0,Low Value
12754.0,235,3,3010.74,1,At Risk
12755.0,280,2,3811.95,1,At Risk
12756.0,86,1,112.08,2,Low Value
12757.0,15,13,7857.1,3,High Value
12758.0,116,2,2791.59,2,At Risk
12759.0,51,3,1531.44,2,Low Value
12762.0,7,2,1898.52,2,Low Value
12763.0,137,2,494.08,2,At Risk
12764.0,316,1,1693.88,1,At Risk
12766.0,3,7,6989.63,3,High Value
12769.0,238,1,1143.6,1,At Risk
12770.0,210,1,1351.45,1,At Risk
12772.0,59,1,892.47,2,Low Value
12775.0,16,5,1386.04,0,Low Value
12778.0,19,6,822.23,0,Loyal
12779.0,37,8,3981.36,0,High Value
12781.0,63,2,826.74,2,Low Value
12782.0,4,5,2330.92,0,Low Value
12783.0,1,6,2225.91,0,High Value
12784.0,8,2,574.42,2,Low Value
12785.0,363,1,311.95,1,At Risk
12787.0,9,3,463.66,2,Low Value
12789.0,64,1,91.85,2,Low Value
12790.0,191,1,324.92,1,At Risk
12791.0,373,1,192.6,1,At Risk
12792.0,256,1,400.54,1,At Risk
12793.0,334,2,545.48,1,At Risk
12794.0,52,2,860.41,2,Low Value
12795.0,18,1,430.48,2,Low Value
12797.0,365,1,254.03,1,At Risk
12798.0,9,3,6977.04,0,Low Value
12802.0,186,1,427.58,1,At Risk
12808.0,36,3,483.65,2,Low Value
12809.0,177,1,489.31,1,At Risk
12811.0,260,3,514.85,1,At Risk
12812.0,44,1,229.64,2,Low Value
12814.0,101,1,125.92,2,At Risk
12815.0,147,2,1063.46,2,At Risk
12816.0,95,2,572.2,2,Low Value
12817.0,280,1,166.04000000000002,1,At Risk
12818.0,261,1,1542.08,1,At Risk
12820.0,2,4,942.34,2,Low Value
12821.0,213,1,92.72,1,At Risk
12822.0,70,2,948.88,2,Low Value
12823.0,74,5,1759.5,0,Low Value
12824.0,59,1,397.12,2,Low Value
12826.0,2,7,1474.72,0,High Value
12827.0,5,3,430.15,2,Low Value
12828.0,2,6,1018.71,0,High Value
12829.0,336,2,293.0,1,At Risk
12830.0,37,6,6814.64,0,High Value
12831.0,261,1,215.05,1,At Risk
12832.0,31,2,383.03,2,Low Value
12833.0,144,1,417.38,2,At Risk
12834.0,282,1,312.38,1,At Risk
12836.0,58,4,2612.86,0,Low Value
12837.0,172,1,134.1,1,At Risk
12838.0,33,2,683.13,2,Low Value
12839.0,2,14,5591.42,3,High Value
12840.0,143,4,2726.77,0,At Risk
12842.0,69,2,1118.99,2,Low Value
12843.0,65,8,1702.26,0,High Value
12844.0,28,2,325.96000000000004,2,Low Value
12845.0,266,4,354.09000000000003,1,At Risk
12847.0,21,1,871.54,2,Low Value
12849.0,30,2,1050.89,2,Low Value
12851.0,96,1,135.18,2,Low Value
12852.0,294,1,311.55,1,At Risk
12853.0,134,6,1957.1,0,High Value
12854.0,78,3,1324.5,2,Low Value
12855.0,372,1,38.1,1,At Risk
12856.0,7,6,2179.93,0,High Value
12857.0,210,2,1106.4,1,At Risk
12863.0,51,1,521.2,2,Low Value
12864.0,137,1,147.12,2,At Risk
12865.0,25,2,1568.23,2,Low Value
12866.0,282,1,559.12,1,At Risk
12867.0,25,7,4036.82,0,High Value
12868.0,185,6,1607.0600000000002,1,High Value
12871.0,83,2,380.64,2,Low Value
12872.0,326,2,599.97,1,At Risk
12873.0,281,1,374.0,1,At Risk
12875.0,142,2,343.2300000000001,2,At Risk
12876.0,57,2,2218.02,2,Low Value
12877.0,3,12,1535.77,0,High Value
12878.0,235,2,854.99,1,At Risk
12879.0,44,3,573.22,2,Low Value
12881.0,275,1,298.0,1,At Risk
12882.0,8,2,1463.04,2,Low Value
12883.0,24,4,703.47,2,Low Value
12884.0,87,1,309.05,2,Low Value
12885.0,62,3,1175.22,2,Low Value
12886.0,67,2,1378.4,2,Low Value
12888.0,213,2,354.12,1,At Risk
12890.0,23,1,380.47,2,Low Value
12891.0,185,3,331.0,1,At Risk
12893.0,30,1,188.14,2,Low Value
12895.0,41,2,372.8,2,Low Value
12897.0,204,2,216.5,1,At Risk
12902.0,264,1,138.68,1,At Risk
12904.0,17,2,509.58,2,Low Value
12906.0,11,5,2919.81,0,Low Value
12908.0,175,2,750.0,1,At Risk
12909.0,39,5,2178.67,0,Low Value
12910.0,22,8,3075.04,0,High Value
12912.0,2,5,1662.3,0,Low Value
12913.0,4,5,2483.63,0,Low Value
12915.0,148,2,363.65,2,At Risk
12916.0,138,4,3006.15,0,At Risk
12917.0,127,1,594.0,2,At Risk
12919.0,7,6,1335.19,0,High Value
12920.0,16,1,164.23,2,Low Value
12922.0,160,1,405.38,1,At Risk
12923.0,63,1,176.97,2,Low Value
12924.0,87,4,933.7,2,Low Value
12925.0,4,2,694.05,2,Low Value
12928.0,34,5,2062.7,0,Low Value
12929.0,311,1,117.85,1,At Risk
12930.0,77,2,415.8,2,Low Value
12933.0,23,3,607.53,2,Low Value
12935.0,1,7,2160.7,0,High Value
12936.0,16,4,1063.9,2,Low Value
12937.0,14,4,1504.27,2,Low Value
12938.0,25,1,114.14,2,Low Value
12939.0,63,8,11581.8,3,High Value
12940.0,54,2,913.54,2,Low Value
12942.0,130,3,683.9,2,At Risk
12944.0,35,2,604.51,2,Low Value
12945.0,287,1,462.95,1,At Risk
12947.0,143,6,1603.99,0,High Value
12948.0,15,7,2064.95,0,High Value
12949.0,30,8,4167.22,0,High Value
12950.0,1,3,1843.0,2,Low Value
12951.0,8,6,1064.07,0,High Value
12952.0,5,4,1387.79,2,Low Value
12953.0,9,1,329.85,2,Low Value
12955.0,0,11,4757.16,0,High Value
12956.0,305,1,108.07,1,At Risk
12957.0,9,8,4017.54,0,High Value
12962.0,6,2,266.39,2,Low Value
12963.0,7,8,1856.63,0,High Value
12965.0,88,1,771.91,2,Low Value
12966.0,9,1,160.18,2,Low Value
12967.0,357,2,1660.9,1,At Risk
12968.0,111,1,135.95,2,At Risk
12970.0,6,4,452.24,2,Low Value
12974.0,197,1,144.8,1,At Risk
12976.0,211,1,738.6,1,At Risk
12977.0,155,1,39.24,1,At Risk
12980.0,157,9,7374.900000000001,3,High Value
12981.0,29,2,372.22,2,Low Value
12982.0,242,1,390.54,1,At Risk
12984.0,18,1,97.5,2,Low Value
12985.0,0,2,1239.38,2,Low Value
12987.0,73,2,558.7,2,Low Value
12988.0,291,1,535.32,1,At Risk
12989.0,2,15,6924.11,3,High Value
12990.0,30,3,409.5,2,Low Value
12991.0,22,2,503.76,2,Low Value
12993.0,22,4,414.76,2,Low Value
12994.0,3,3,974.42,2,Low Value
12995.0,84,1,211.32,2,Low Value
12997.0,21,4,1226.89,2,Low Value
12999.0,195,3,455.88,1,At Risk
13000.0,106,3,534.85,2,At Risk
13001.0,3,13,9818.82,3,High Value
13002.0,317,1,120.95,1,At Risk
13003.0,105,3,149.05,2,At Risk
13004.0,11,18,5655.91,3,High Value
13005.0,173,2,513.7,1,At Risk
13006.0,55,1,81.57,2,Low Value
13008.0,322,1,229.47,1,At Risk
13011.0,371,1,50.55,1,At Risk
13012.0,8,8,1661.84,0,High Value
13013.0,0,13,4810.9400000000005,3,High Value
13014.0,10,10,3466.28,0,High Value
13015.0,52,5,3346.28,0,Low Value
13016.0,72,3,789.89,2,Low Value
13017.0,6,1,204.0,2,Low Value
13021.0,3,9,2616.38,0,High Value
13023.0,63,2,689.9,2,Low Value
13026.0,0,5,975.36,2,Low Value
13027.0,113,6,6912.0,0,High Value
13028.0,22,2,661.3199999999999,2,Low Value
13029.0,30,3,1247.5,2,Low Value
13030.0,10,2,799.48,2,Low Value
13032.0,51,2,1010.18,2,Low Value
13033.0,356,1,190.55,1,At Risk
13034.0,54,2,642.77,2,Low Value
13035.0,73,2,921.88,2,Low Value
13037.0,137,3,881.07,2,At Risk
13038.0,79,3,908.46,2,Low Value
13040.0,8,2,676.99,2,Low Value
13043.0,272,1,516.42,1,At Risk
13044.0,290,1,560.47,1,At Risk
13045.0,98,1,305.28000000000003,2,Low Value
13046.0,30,2,629.31,2,Low Value
13047.0,31,10,3237.54,0,High Value
13048.0,13,4,1835.91,2,Low Value
13049.0,63,2,656.6800000000001,2,Low Value
13050.0,14,17,5836.86,3,High Value
13052.0,211,1,348.15000000000003,1,At Risk
13055.0,77,3,1214.41,2,Low Value
13058.0,24,3,271.40000000000003,2,Low Value
13059.0,249,1,183.4,1,At Risk
13060.0,253,1,307.53000000000003,1,At Risk
13061.0,71,1,248.61,2,Low Value
13062.0,190,1,346.98,1,At Risk
13064.0,12,4,1119.49,2,Low Value
13065.0,372,1,205.86,1,At Risk
13066.0,23,2,470.8,2,Low Value
13067.0,81,1,115.46,2,Low Value
13068.0,9,2,344.0,2,Low Value
13069.0,0,24,4436.12,3,High Value
13070.0,191,1,228.8,1,At Risk
13072.0,266,1,177.15,1,At Risk
13075.0,129,1,919.61,2,At Risk
13077.0,0,4,729.27,2,Low Value
13079.0,3,5,220.1,2,Low Value
13080.0,178,1,58.08,1,At Risk
13082.0,125,9,3613.63,0,High Value
13083.0,3,2,303.75,2,Low Value
13085.0,157,2,416.08,1,At Risk
13090.0,8,14,8910.82,3,High Value
13091.0,27,1,345.82,2,Low Value
13092.0,70,5,477.83,2,Low Value
13093.0,275,8,7832.47,3,High Value
13094.0,20,12,1927.32,0,High Value
13095.0,70,1,74.39999999999999,2,Low Value
13097.0,32,10,6010.42,3,High Value
13099.0,98,1,207.36,2,Low Value
13101.0,233,1,101.19,1,At Risk
13102.0,0,24,6424.09,3,High Value
13103.0,39,1,243.94,2,Low Value
13104.0,2,6,1098.48,0,High Value
13106.0,132,1,76.5,2,At Risk
13107.0,43,4,1531.62,2,Low Value
13108.0,372,1,350.06,1,At Risk
13109.0,59,2,786.54,2,Low Value
13110.0,30,7,1488.67,0,High Value
13113.0,0,24,12245.96,3,High Value
13115.0,11,4,2294.78,0,Low Value
13116.0,137,1,501.14,2,At Risk
13117.0,21,8,984.91,0,Loyal
13118.0,19,5,1197.81,2,Low Value
13120.0,238,1,30.6,1,At Risk
13121.0,268,1,283.73,1,At Risk
13122.0,93,2,922.39,2,Low Value
13124.0,89,3,3866.33,0,Low Value
13126.0,4,8,2099.64,0,High Value
13127.0,77,1,259.17,2,Low Value
13130.0,93,1,64.0,2,Low Value
13131.0,22,3,1073.3,2,Low Value
13132.0,261,1,77.3,1,At Risk
13133.0,273,2,109.8,1,At Risk
13134.0,85,4,1793.58,2,Low Value
13135.0,196,1,3096.0,1,At Risk
13136.0,55,5,2607.61,0,Low Value
13137.0,10,8,3650.41,0,High Value
13138.0,21,6,962.39,0,Loyal
13139.0,15,7,5064.9400000000005,0,High Value
13140.0,107,3,423.72,2,At Risk
13141.0,84,5,2388.75,0,Low Value
13142.0,18,1,307.09000000000003,2,Low Value
13144.0,332,1,110.95,1,At Risk
13145.0,39,4,618.52,2,Low Value
13146.0,25,1,228.91,2,Low Value
13147.0,9,4,712.8,2,Low Value
13148.0,28,12,3707.12,0,High Value
13149.0,13,4,1676.06,2,Low Value
13151.0,295,1,1257.87,1,At Risk
13153.0,5,1,486.22,2,Low Value
13155.0,32,4,971.76,2,Low Value
13157.0,48,4,1741.22,2,Low Value
13158.0,94,4,1201.06,2,Low Value
13159.0,8,4,1437.85,2,Low Value
13160.0,21,1,91.8,2,Low Value
13161.0,312,1,112.75,1,At Risk
13162.0,121,4,1688.29,2,At Risk
13165.0,45,2,1021.48,2,Low Value
13166.0,282,1,417.2,1,At Risk
13167.0,18,4,791.33,2,Low Value
13168.0,35,4,1319.19,2,Low Value
13169.0,63,2,712.88,2,Low Value
13170.0,26,1,116.01,2,Low Value
13171.0,21,3,468.41,2,Low Value
13173.0,3,2,353.65000000000003,2,Low Value
13174.0,15,3,2817.03,0,Low Value
13176.0,45,1,492.84,2,Low Value
13177.0,64,1,282.45,2,Low Value
13178.0,25,11,5725.47,3,High Value
13182.0,44,1,121.18,2,Low Value
13183.0,7,9,3957.78,0,High Value
13184.0,14,10,1701.29,0,High Value
13185.0,267,1,71.4,1,At Risk
13186.0,39,3,1575.89,2,Low Value
13187.0,336,1,236.02,1,At Risk
13188.0,10,1,114.6,2,Low Value
13189.0,18,2,260.68,2,Low Value
13192.0,94,2,911.94,2,Low Value
13193.0,60,1,117.88,2,Low Value
13194.0,135,1,60.7,2,At Risk
13196.0,10,4,1797.78,2,Low Value
13198.0,9,6,3401.24,0,High Value
13200.0,18,4,870.09,2,Low Value
13203.0,9,4,869.46,2,Low Value
13207.0,14,2,250.26,2,Low Value
13208.0,58,6,1223.9,0,High Value
13209.0,29,8,5891.61,0,High Value
13210.0,93,1,353.48,2,Low Value
13211.0,9,3,1197.42,2,Low Value
13212.0,19,3,788.08,2,Low Value
13213.0,56,5,1520.58,0,Low Value
13216.0,267,1,333.74,1,At Risk
13217.0,121,3,533.98,2,At Risk
13218.0,126,1,62.64,2,At Risk
13220.0,77,4,819.2900000000001,2,Low Value
13221.0,239,2,847.41,1,At Risk
13223.0,199,2,163.2,1,At Risk
13224.0,59,2,2155.95,2,Low Value
13225.0,2,7,6463.84,3,High Value
13226.0,272,1,108.21,1,At Risk
13227.0,201,1,257.7,1,At Risk
13228.0,80,1,358.0,2,Low Value
13229.0,225,1,160.95,1,At Risk
13230.0,3,14,2806.97,0,High Value
13232.0,12,7,1357.6,0,High Value
13233.0,73,2,605.12,2,Low Value
13235.0,211,1,1031.07,1,At Risk
13236.0,24,2,744.85,2,Low Value
13238.0,16,4,700.73,2,Low Value
13239.0,261,1,329.56,1,At Risk
13240.0,95,4,663.65,2,Low Value
13242.0,111,3,270.40000000000003,2,At Risk
13243.0,202,1,600.07,1,At Risk
13244.0,92,1,121.74,2,Low Value
13245.0,50,1,430.5,2,Low Value
13246.0,17,6,1987.3,0,High Value
13247.0,17,4,501.12,2,Low Value
13248.0,124,2,465.68,2,At Risk
13249.0,91,3,711.41,2,Low Value
13253.0,156,2,1030.4,1,At Risk
13255.0,8,2,399.51,2,Low Value
13258.0,11,3,698.5799999999999,2,Low Value
13259.0,61,1,292.32,2,Low Value
13260.0,60,1,557.62,2,Low Value
13261.0,268,2,944.1,1,At Risk
13262.0,262,1,200.29,1,At Risk
13265.0,52,5,2107.66,0,Low Value
13266.0,10,12,3834.26,0,High Value
13267.0,2,19,4521.49,3,High Value
13268.0,17,11,3214.69,0,High Value
13269.0,0,15,5346.2300000000005,3,High Value
13270.0,365,1,590.0,1,At Risk
13271.0,36,1,217.38,2,Low Value
13272.0,30,2,276.56,2,Low Value
13273.0,112,1,138.98,2,At Risk
